Date,Open,High,Low,Close,Adj Close,Volume,TSX,TSX_Open,TSX_High,TSX_Low,TSX_Close,TSX_Adj Close,TSX_Volume
18-07-10,5.000000,5.030000,4.890000,4.920000,4.920000,1667200,,16481.300781,16553.800781,16481.300781,16548.699219,16548.699219,179453700
18-07-11,4.880000,4.930000,4.820000,4.890000,4.890000,1160700,,16448.900391,16464.000000,16390.099609,16417.300781,16417.300781,223771000
18-07-12,4.900000,4.900000,4.820000,4.830000,4.830000,654900,,16490.199219,16577.099609,16449.099609,16567.400391,16567.400391,168849100
18-07-13,4.820000,4.840000,4.640000,4.660000,4.660000,1863900,,16560.900391,16586.500000,16539.199219,16561.099609,16561.099609,140905500
18-07-16,4.620000,4.645000,4.170000,4.260000,4.260000,3713800,,16531.099609,16531.099609,16467.800781,16494.699219,16494.699219,152593700
18-07-17,4.250000,4.370000,4.120000,4.330000,4.330000,2198200,,16462.199219,16546.300781,16445.199219,16519.199219,16519.199219,164404500
18-07-18,4.390000,4.610000,4.240000,4.480000,4.480000,2261100,,16547.900391,16557.400391,16477.400391,16477.400391,16477.400391,182820700
18-07-19,4.480000,4.530000,4.270000,4.320000,4.320000,1037700,,16463.000000,16564.400391,16463.000000,16543.000000,16543.000000,179816500
18-07-20,4.270000,4.360000,4.220000,4.330000,4.330000,1197100,,16491.900391,16498.599609,16424.800781,16435.500000,16435.500000,175726000
18-07-23,4.350000,4.500000,4.300000,4.460000,4.460000,1428600,,16444.500000,16444.500000,16389.400391,16420.800781,16420.800781,154956300
18-07-24,4.500000,4.500000,4.240000,4.290000,4.290000,1082800,,16460.300781,16512.300781,16390.099609,16390.099609,16390.099609,178751900
18-07-25,4.270000,4.290000,4.170000,4.180000,4.180000,1078200,,16366.500000,16421.900391,16351.000000,16420.800781,16420.800781,158513300
18-07-26,4.150000,4.180000,4.040000,4.100000,4.100000,1932100,,16387.599609,16480.599609,16364.299805,16455.699219,16455.699219,185503900
18-07-27,4.160000,4.200000,4.080000,4.120000,4.120000,940300,,16465.400391,16489.099609,16361.299805,16394.000000,16394.000000,213660700
18-07-30,4.170000,4.280000,4.050000,4.170000,4.170000,1050100,,16443.000000,16443.000000,16340.500000,16345.500000,16345.500000,143937900
18-07-31,4.140000,4.350000,4.050000,4.350000,4.350000,3505500,,16358.599609,16434.000000,16324.700195,16434.000000,16434.000000,218906200
18-08-01,5.250000,5.250000,4.760000,4.830000,4.830000,10928500,,16383.799805,16432.199219,16328.599609,16376.799805,16376.799805,183217000
18-08-02,4.850000,4.930000,4.660000,4.680000,4.680000,3053900,,16322.000000,16418.800781,16266.599609,16409.199219,16409.199219,177619800
18-08-03,4.690000,4.750000,4.610000,4.670000,4.670000,867800,,16390.900391,16429.099609,16369.799805,16420.199219,16420.199219,169210300
18-08-07,4.750000,4.840000,4.670000,4.690000,4.690000,2027300,,16491.599609,16494.099609,16281.000000,16286.299805,16286.299805,247971400
18-08-08,4.700000,4.780000,4.620000,4.620000,4.620000,1847200,,16302.099609,16325.099609,16235.599609,16315.099609,16315.099609,173124600
18-08-09,4.700000,4.700000,4.400000,4.600000,4.600000,1895200,,16327.099609,16430.900391,16326.900391,16417.000000,16417.000000,178858400
18-08-10,4.600000,4.650000,4.380000,4.430000,4.430000,1559600,,16353.500000,16362.500000,16281.799805,16326.500000,16326.500000,181112000
18-08-13,4.460000,4.470000,4.170000,4.250000,4.250000,2130700,,16318.299805,16371.900391,16239.700195,16250.799805,16250.799805,169202400
18-08-14,4.210000,4.240000,3.980000,4.120000,4.120000,3010500,,16296.099609,16342.000000,16250.599609,16330.700195,16330.700195,187168600
18-08-15,4.550000,4.680000,4.260000,4.650000,4.650000,5672400,,16260.299805,16260.299805,16075.299805,16148.500000,16148.500000,284164600
18-08-16,4.600000,4.730000,4.420000,4.500000,4.500000,3999200,,16226.400391,16287.700195,16214.799805,16225.700195,16225.700195,199689700
18-08-17,4.450000,4.600000,4.380000,4.590000,4.590000,1282300,,16219.599609,16336.900391,16194.900391,16323.700195,16323.700195,173991100
18-08-20,4.620000,4.910000,4.600000,4.820000,4.820000,2423200,,16332.099609,16370.900391,16317.400391,16331.000000,16331.000000,208751900
18-08-21,4.950000,5.080000,4.750000,4.910000,4.910000,3786600,,16340.299805,16398.599609,16296.400391,16297.000000,16297.000000,219442800
18-08-22,4.910000,5.080000,4.690000,5.010000,5.010000,3815500,,16322.799805,16397.099609,16322.799805,16347.299805,16347.299805,200198300
18-08-23,5.010000,5.050000,4.890000,5.000000,5.000000,2236900,,16336.200195,16358.599609,16309.200195,16326.799805,16326.799805,171141500
18-08-24,5.030000,5.300000,5.010000,5.290000,5.290000,4973200,,16382.799805,16400.900391,16331.500000,16356.099609,16356.099609,211605900
18-08-27,5.400000,5.880000,5.390000,5.650000,5.650000,8568700,,16416.099609,16475.300781,16416.099609,16444.400391,16444.400391,213875400
18-08-28,5.550000,5.580000,5.120000,5.300000,5.300000,4841500,,16464.900391,16464.900391,16328.900391,16355.500000,16355.500000,198610200
18-08-29,5.470000,5.650000,5.400000,5.570000,5.570000,3287400,,16380.599609,16432.900391,16339.099609,16390.300781,16390.300781,180128300
18-08-30,5.490000,5.580000,5.270000,5.360000,5.360000,3890200,,16375.299805,16439.199219,16349.599609,16371.599609,16371.599609,216595200
18-08-31,5.420000,5.540000,5.290000,5.540000,5.540000,3687000,,16361.200195,16390.400391,16252.400391,16262.900391,16262.900391,217160800
18-09-04,5.670000,5.750000,5.590000,5.750000,5.750000,3863500,,16276.299805,16276.299805,16152.200195,16161.299805,16161.299805,239502100
18-09-05,5.910000,6.000000,5.570000,5.890000,5.890000,5371100,,16144.599609,16156.799805,16033.000000,16137.599609,16137.599609,255580900
18-09-06,6.090000,7.100000,6.070000,7.100000,7.100000,11920900,,16162.200195,16196.200195,16077.400391,16100.900391,16100.900391,229173900
18-09-07,7.590000,7.940000,6.920000,7.030000,7.030000,15011600,,16028.900391,16093.400391,15994.299805,16090.299805,16090.299805,225132900
18-09-10,7.250000,7.780000,7.250000,7.740000,7.740000,7862000,,16121.000000,16147.099609,16057.099609,16057.099609,16057.099609,200681100
18-09-11,7.800000,8.490000,7.470000,8.450000,8.450000,10559500,,16042.299805,16111.700195,15975.799805,16094.299805,16094.299805,215647000
